Activity ID,Activity Date,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Heart Rate,Average Heart Rate,Calories,Relative Effort,Grade Adjusted Distance
3643828037,"Jun 20, 2020, 1:52:07 PM",Run,3041,11.46,171,66,3034,11459.5,8,3.77702713,184.5871582,183.5871582,234.8999939,277.8999939,28.39999962,0.008726384,,150.3687897,767,66,11859.2002
3649479042,"Jun 21, 2020, 2:22:50 PM",Run,2181,8.19,176,54,2181,8189.100098,8.300000191,3.754745483,147.9015198,157.9015198,234.8999939,288.3999939,27.29999924,-0.122113541,,152.035553,547,54,8522.700195
3658937778,"Jun 23, 2020, 2:01:57 PM",Run,2197,8.23,175,49,2197,8232.799805,8.300000191,3.747291803,153.0426788,151.6426849,234.8999939,288.3999939,27.29999924,0.017005149,,149.9838104,551,49,8619.400391
3666085279,"Jun 24, 2020, 7:58:19 PM",Run,2233,8.13,170,45,2165,8135.200195,9.300000191,3.757598162,152.5385284,151.2385254,234.8999939,288.3999939,19.5,0.015979938,,149.0242767,543,45,8519.099609
3671047517,"Jun 25, 2020, 8:17:28 PM",Run,1826,6.86,169,36,1819,6867.299805,8.199999809,3.775316,148.7994995,147.3994904,234.8999939,288.3999939,19.79999924,0.020386469,,148.4646606,456,36,7224.799805
3678974098,"Jun 27, 2020, 2:07:20 PM",Run,3611,13.29,172,69,3541,13289.90039,8.399999619,3.753148794,235.9532471,233.853241,234.8999939,281.8999939,25.5,0.015801473,,148.6085205,887,69,13800
3683952411,"Jun 28, 2020, 1:54:53 PM",Run,1869,6.86,169,35,1869,6862.100098,9.100000381,3.671535492,149.1674347,148.4674377,234.8999939,288.3999939,23.10000038,0.010200959,,146.7312317,461,35,7212.600098
3704686564,"Jul 2, 2020, 8:07:16 PM",Run,2184,8.11,180,53,2170,8119,7.800000191,3.741474628,154.2054596,154.2054596,234.8999939,288.3999939,21.89999962,0,,151.6694489,541,53,8483.700195
3709040893,"Jul 3, 2020, 7:47:05 PM",Run,1296,4.93,163,23,1296,4933.600098,8.800000191,3.806790113,68.41246796,66.91246796,262,291.2999878,21.89999962,0.030403761,,145.8398132,327,23,5063.799805
3712313438,"Jul 4, 2020, 12:53:31 PM",Run,2419,10.13,181,121,2416,10131.90039,10.69999981,4.193667412,16.18252754,14.68252754,241.5,248,10.69999981,0.014804726,,170.2783051,661,121,10158.5
3718552829,"Jul 5, 2020, 1:55:25 PM",Run,1392,5.32,169,36,1392,5319.799805,6.900000095,3.821695328,76.49808502,75.59809113,262.2999878,291.2999878,17.29999924,0.016917929,,153.1962433,355,36,5484.899902
3724055731,"Jul 6, 2020, 8:52:13 PM",Run,2159,8.22,177,59,2159,8221.099609,7.5,3.807827711,154.8946991,152.9947052,234.8999939,288.3999939,31,0.023111263,,154.7030334,548,59,8587.200195
