Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Media
3410088086,"May 6, 2020, 7:50:59 PM",Afternoon Run,Run,,2190,8.10,181.0,64,false,,,activities/3642811710.tcx.gz,0.0,,2190.0,2190.0,8104.0,8.800000190734863,3.7004566192626953,136.9822540283203,136.58200073242188,235.39999389648438,287.0,23.899999618530273,0.004935834091156721,,,,,181.0,,,,541.0,,,64.0,,,,,,,,,,,,,0.0,,1.0,8432.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3415310385,"May 7, 2020, 6:30:47 PM",Afternoon Run,Run,,2047,8.17,177.0,64,false,,,activities/3648325344.tcx.gz,0.0,,2047.0,2044.0,8173.39990234375,8.0,3.998728036880493,133.43345642089844,133.13299560546875,235.39999389648438,286.8999938964844,17.799999237060547,0.003670443082228303,,,,,177.0,,,,537.0,,,64.0,,,,,,,,,,,,,0.0,,1.0,8452.400390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3424923324,"May 9, 2020, 2:29:59 PM",Morning Run,Run,,2967,11.26,173.0,66,false,,,activities/3658532095.tcx.gz,0.0,,2967.0,2894.0,11262.2998046875,8.0,3.8916032314300537,179.91705322265625,191.81700134277344,235.39999389648438,287.0,19.0,-0.1056622564792633,,,,,173.0,,,,746.0,,,66.0,,,,,,,,,,,,,0.0,,1.0,11600.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3430529010,"May 10, 2020, 2:50:14 PM",Morning Run,Run,,2254,8.61,176.0,51,false,,,activities/3664445887.tcx.gz,0.0,,2254.0,2224.0,8610.0,6.800000190734863,3.8714029788970947,139.97352600097656,138.6739959716797,235.39999389648438,287.0,20.799999237060547,0.015098722651600838,,,,,176.0,,,,575.0,,,51.0,,,,,,,,,,,,,0.0,,1.0,8915.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3436485511,"May 11, 2020, 8:42:40 PM",Afternoon Run,Run,,2161,8.48,185.0,79,false,,,activities/3670738454.tcx.gz,0.0,,2161.0,2145.0,8483.900390625,8.600000381469727,3.955198049545288,141.09100341796875,140.29100036621094,235.39999389648438,286.8999938964844,23.600000381469727,0.009429625235497952,,,,,185.0,,,,556.0,,,79.0,,,,,,,,,,,,,0.0,,1.0,8784.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3446815010,"May 13, 2020, 8:16:58 PM",Afternoon Run,Run,,2096,8.04,177.0,56,false,,,activities/3681553853.tcx.gz,0.0,,2096.0,2096.0,8045.2001953125,8.800000190734863,3.8383588790893555,140.02743530273438,139.1269989013672,235.39999389648438,287.0,18.299999237060547,0.011186794377863407,,,,,177.0,,,,528.0,,,56.0,,,,,,,,,,,,,0.0,,1.0,8360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3452141533,"May 14, 2020, 8:46:42 PM",Afternoon Run,Run,,2220,8.42,177.0,62,false,,,activities/3687135209.tcx.gz,0.0,,2220.0,2188.0,8427.2998046875,9.600000381469727,3.85159969329834,162.62875366210938,160.5290069580078,234.89999389648438,288.3999938964844,21.200000762939453,0.024919012561440468,,,,,177.0,,,,556.0,,,62.0,,,,,,,,,,,,,0.0,,1.0,8818.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3460445060,"May 16, 2020, 1:41:17 PM",Morning Run,Run,,3017,11.27,179.0,86,false,,,activities/3695878973.tcx.gz,0.0,,3017.0,2989.0,11275.7998046875,8.100000381469727,3.772432327270508,197.03756713867188,197.23800659179688,233.6999969482422,288.3999938964844,22.0,-0.0017737100133672357,,,,,179.0,,,,747.0,,,86.0,,,,,,,,,,,,,0.0,,1.0,11715.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3467621814,"May 17, 2020, 2:07:48 PM",Morning Run,Run,,2158,8.08,174.0,50,false,,,activities/3703435808.tcx.gz,0.0,,2158.0,2158.0,8081.7001953125,7.900000095367432,3.744995355606079,157.02597045898438,156.5260009765625,234.89999389648438,288.3999938964844,29.899999618530273,0.006186817307025194,,,,,174.0,,,,540.0,,,50.0,,,,,,,,,,,,,0.0,,1.0,8475.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3479234272,"May 19, 2020, 8:03:28 PM",Afternoon Run,Run,,2221,8.22,181.0,64,false,,,activities/3715623517.tcx.gz,0.0,,2221.0,2129.0,8221.2001953125,8.199999809265137,3.8615312576293945,154.93678283691406,154.53700256347656,234.89999389648438,288.3999938964844,50.0,0.004865469876676798,,,,,181.0,,,,542.0,,,64.0,,,,,,,,,,,,,0.0,,1.0,8582.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
